,label,counts
35197,北关,6
19595,冒烟,6
27773,反败为胜,6
11654,葛诚,6
17982,勤政,6
35173,硬攻,6
11572,找上门,6
19576,少量,6
11561,王八,6
38678,轿夫,6
11550,削藩,6
11653,朝见,6
21347,贪欲,6
27783,候选,6
21383,该轮,6
11681,战线,6
34794,加藤嘉明,6
17817,便会,6
19626,投机取巧,6
21400,通晓,6
21395,留任,6
17865,商讨,6
17873,平乱,6
9014,坦白,6
9026,此仇,6
35215,李如梅,6
10775,怀柔,6
21360,打定,6
19613,撕破,6
17906,洪亮,6
8610,钱粮,6
21492,智力,6
21588,边缘,6
9061,轻信,6
11748,迟早会,6
11879,诏令,6
10432,就业,6
37116,朱常洵,6
19869,笑柄,6
19974,从何,6
26497,博学,6
19854,六七品,6
17376,六十岁,6
38931,旧城,6
9153,探明,6
34200,认了,6
17415,可说,6
26493,致仕,6
10660,晋王,6
19826,千名,6
17435,目不转睛,6
21703,消息灵通,6
21702,曹家,6
9138,毫无准备,6
21780,凌晨,6
17346,调离,6
34407,1578,6
17275,大展,6
10418,憧憬,6
19918,握紧,6
11896,不进,6
17270,自我,6
10695,张口,6
10700,工作者,6
19886,缓缓,6
19881,好手,6
38991,屯田,6
38963,筑城,6
34416,1585,6
10423,远去,6
21800,万般无奈,6
17326,制胜,6
10707,跳进,6
11889,心虚,6
17337,平淡无奇,6
19968,孤身,6
21692,前夕,6
9134,功业,6
25691,翻翻,6
21608,沂王,6
40933,生祠,6
26489,枪口,6
11792,犹豫不决,6
37172,未经许可,6
11790,失算,6
11788,密奏,6
11781,避祸,6
11777,棉被,6
10781,尔虞我诈,6
19713,集中兵力,6
25767,找碴,6
21564,敢动,6
19693,征集,6
21562,里应外合,6
21553,别墅,6
17641,那片,6
17672,洪熙,6
21509,报功,6
19706,北京市,6
19729,罢免,6
25692,投票,6
17492,刻薄,6
11850,一瞬间,6
21685,严防死守,6
19822,无所畏惧,6
27433,绳结,6
27434,1542,6
26523,对质,6
19809,口才,6
11835,中风,6
21676,认字,6
19731,失意,6
21675,眼巴巴,6
17505,解答,6
17507,内侍,6
19753,小小,6
17514,到访,6
17520,饱含,6
9082,一度,6
20084,斩获,6
19567,任总兵,6
10603,人间,6
41271,毕自严,6
20702,送回,6
18794,壕沟,6
11116,约束,6
20738,当今,6
26270,搞垮,6
41178,锥子,6
11091,四下,6
18835,近日,6
18838,八十,6
18840,一万一千,6
20354,动弹不得,6
25951,直隶,6
19334,真格的,6
11080,突发,6
11068,那年,6
10565,记在,6
11064,惊动,6
20362,回归,6
11008,秦王,6
10889,兀良,6
18930,始终保持,6
11117,封地,6
18784,坦途,6
20747,往前走,6
18768,忠良,6
19386,一言,6
26164,两广总督,6
10543,半文盲,6
18653,国运,6
10879,大致相同,6
20326,动身,6
18684,他途,6
10887,一气,6
18702,保重,6
19356,暴打,6
19352,片刻之间,6
19351,一呼百应,6
26175,教给,6
11163,老朱,6
8691,先打,6
26219,赞扬,6
18757,调转,6
8836,血本,6
18758,紫荆关,6
26391,第七,6
19305,金英,6
19303,死死地,6
38158,清佳努,6
20534,仅存,6
20527,随身带,6
27696,敕书,6
20393,众望所归,6
10936,莫属,6
20515,半路上,6
10911,挨过,6
10912,不忍心,6
19120,欺软怕硬,6
20487,多加,6
8752,可信,6
10920,老者,6
26384,萧半仙,6
27679,原文,6
19163,跨过,6
19166,强势,6
10925,投向,6
19175,外放,6
20455,定律,6
8771,胆敢,6
20554,上访,6
10615,遗产,6
41230,范文程,6
19298,再议,6
20626,愁眉苦脸,6
26344,毛澄,6
20618,张嘴,6
8795,玉带,6
18965,最差,6
18968,舆论压力,6
10984,壮志,6
20601,升到,6
18986,哭天抢地,6
18991,贪生怕死,6
10968,油然而生,6
18997,理论依据,6
19278,议事,6
19010,避过,6
8708,大诰,6
19014,天象,6
8782,广告,6
20579,辩手,6
18594,一百万,6
10871,繁荣,6
20884,数额,6
21193,报应,6
38619,李选,6
8950,杀机,6
11429,足迹,6
18150,体力,6
11414,丑恶,6
10803,运动员,6
18184,明武宗,6
20207,丢面子,6
18188,很巧,6
10499,改善,6
19534,不复存在,6
8941,活不了,6
19505,魔力,6
37386,岳元声,6
11381,理学,6
21132,吼道,6
38581,郑养性,6
18240,二十七岁,6
11376,取名,6
18139,阴森,6
8956,丁斌,6
18262,王振是,6
18131,分到,6
8990,预兆,6
8629,轻视,6
10794,免费,6
18056,不蠢,6
18057,揭示,6
21237,入选,6
20200,服服帖帖,6
8977,无所不包,6
25975,复出,6
11480,爆炸,6
18098,御马监,6
8972,不太可能,6
18103,红权,6
8739,第一句,6
27763,吃香,6
11454,分子,6
11447,奇异,6
26001,张永和,6
18127,御用,6
19492,而于,6
10627,虚心,6
26162,钱德洪,6
21018,争得,6
41259,经费,6
11282,岿然不动,6
10828,脸熟,6
10622,纠纷,6
35056,拖欠,6
18435,牲畜,6
18438,地来,6
20992,叫住,6
19414,摄政,6
10522,大可不必,6
19411,示众,6
20295,嫁给,6
18482,索要,6
11266,一应俱全,6
18528,爱国,6
34418,大旱,6
18561,单挑,6
41123,1628,6
11231,先下手为强,6
37442,气不过,6
18396,干坏事,6
18284,祖母,6
20260,一幕幕,6
11356,品种,6
41086,崔应元,6
18299,领了,6
18312,大喝,6
18326,国事,6
8643,遗忘,6
18329,隔三差五,6
8646,府县,6
11351,不多见,6
21070,反扑,6
11329,协助,6
11325,不读,6
21054,王文,6
10512,概率,6
26094,拼死拼活,6
11312,会来,6
18385,明摆着,6
8648,总能,6
18390,贪财,6
18549,算术,6
13685,众叛亲离,6
17254,保不住,6
14969,天坛,6
14856,一转,6
23608,房梁,6
23595,备考,6
13151,和解,6
14875,喜好,6
10190,侦查,6
23567,加班加点,6
13127,套住,6
24838,离奇,6
14936,工部尚书,6
13121,猛冲,6
14970,整修,6
39841,魏大中,6
27082,死里整,6
23500,剑法,6
9732,不同之处,6
14979,一帆风顺,6
14995,忍气吞声,6
13113,合围,6
15022,难逃,6
13104,调整,6
9717,一万五千,6
15048,出海,6
15050,信奉,6
14832,教书先生,6
14825,敬仰,6
36282,车军,6
24804,门槛,6
27049,翟銮,6
24740,破格提拔,6
13250,责骂,6
14617,金字塔,6
13247,大大方方,6
13246,不了了之,6
23752,拜别,6
27055,离谱,6
13244,看得见,6
10177,服装,6
13219,错过,6
13215,在天有灵,6
23739,深山老林,6
14651,过往,6
23736,重演,6
14694,多姿多彩,6
13191,荣光,6
24795,痞子,6
24799,不平,6
23670,启示,6
14791,我行我素,6
9767,能谋善断,6
14798,扶贫,6
10197,策反,6
15070,锻炼身体,6
26647,官话,6
15394,热烈欢迎,6
9669,位极人臣,6
23264,账本,6
15314,难关,6
12968,豪言壮语,6
23227,自宫,6
12927,单凭,6
23216,及早,6
9646,放任,6
23205,进水,6
15379,五千余,6
12909,在靖,6
23187,专心,6
15087,不忍,6
23175,寒风,6
12906,无情,6
15433,西方人,6
23160,老大爷,6
15441,西方,6
12880,毒辣,6
23135,徐霞客,6
15475,最远,6
15484,难忘,6
9621,结下,6
26758,无权,6
15280,印度,6
10220,工作效率,6
36477,轰鸣声,6
24954,不清,6
13075,套路,6
23390,十二岁,6
36435,印证,6
9699,蓝玉案,6
9694,醒目,6
24881,崇敬,6
15138,区域,6
15139,汉唐,6
35695,炸膛,6
13033,投身,6
13030,耍弄,6
13009,休整,6
15217,航行,6
15224,非洲,6
15239,声泪俱下,6
13000,打败仗,6
15255,派来,6
15257,奏效,6
15261,六万两,6
15262,价码,6
12998,一个打,6
12993,慈悲为怀,6
10693,安顿,6
14573,佼佼者,6
9802,随手,6
10158,辛勤,6
26956,但夏言,6
24522,找来找去,6
13870,言论,6
24523,这官,6
13878,毛笔,6
13884,收场,6
24524,翻来覆去,6
13906,开饭,6
13911,活该,6
13925,游览,6
13566,玩弄,6
13555,有多远,6
13961,情分,6
14560,才华,6
13976,封到,6
13980,愉快,6
9946,老爷,6
24198,公公,6
13994,勤于,6
9934,祭拜,6
26972,兵科,6
40219,红夷,6
24561,大雾,6
14030,生母,6
10096,向西,6
13588,暂住,6
34663,搞了个,6
9986,九品,6
13602,更替,6
10038,无论谁,6
24446,趁人,6
13677,大棒,6
10043,投胎,6
24460,气喘吁吁,6
10014,说明书,6
13661,内奸,6
13628,吃奶,6
13747,之谜,6
13625,世子,6
13749,坐上,6
13753,名满天下,6
13620,退走,6
13760,激起,6
10052,典范,6
10053,心力,6
24368,确有,6
10056,经不起,6
13790,承受能力,6
10000,设定,6
13795,塞入,6
13612,求和,6
24341,幸福生活,6
9913,处以,6
14063,排序,6
24141,仇钺,6
23976,冒出来,6
13394,坟头,6
14348,远远地,6
13382,雷同,6
14355,灵魂,6
14380,近侍,6
23955,十三岁,6
9826,明太祖,6
13367,并不需要,6
13343,锐气,6
35791,毫不费力,6
14403,有效率,6
13323,顶礼膜拜,6
9823,实至名归,6
14413,正气,6
14450,文渊阁,6
14457,之余,6
13303,胡说,6
23881,受累,6
14511,这番,6
9806,不轻,6
14531,抄写,6
24722,可刚,6
14559,一把手,6
24635,名不副实,6
9839,似曾相识,6
10099,有权,6
23986,怨言,6
24594,对阵,6
14109,宫城,6
14120,加紧,6
14131,抓到,6
24092,讲礼貌,6
13478,上气不接下气,6
13477,权当,6
14151,其为,6
14200,康熙,6
14207,一口咬定,6
14208,顶住,6
9878,案例,6
13451,并不相同,6
14220,日常生活,6
10121,芸芸众生,6
14230,休养生息,6
13424,克服,6
24626,而据,6
14245,教书,6
14257,雄才大略,6
14272,红人,6
13410,领赏,6
23995,往里,6
23107,特例,6
23104,垫背,6
23093,拜码头,6
25492,水师,6
12255,并列,6
22296,化学,6
40792,纳闷儿,6
12238,劣势,6
22238,骗子,6
16641,职权,6
22228,定论,6
16670,钦差,6
12221,很会,6
12213,合兵,6
22219,周太后,6
27276,等一等,6
22471,关门,6
16697,遗臭万年,6
16702,有志,6
9346,王弼,6
22199,无憾,6
39198,多铎,6
39192,八大,6
16736,周而复始,6
12172,寡不敌众,6
16786,上京,6
16797,怀揣,6
12151,认同,6
12266,晕过去,6
16538,西瓜刀,6
41385,尚可喜,6
16533,三板斧,6
12343,事宜,6
22467,跟班,6
9422,人影,6
9417,供应,6
16334,坚壁清野,6
16379,跟前,6
12338,饶恕,6
12335,欣然,6
12334,摸清,6
16389,秉承,6
22413,条命,6
10341,称臣,6
16424,直冒,6
36867,1590,6
36869,立克,6
12299,从根本上,6
36879,顺义,6
35435,两万多,6
16487,铅子,6
16490,踩死,6
35427,牡丹,6
16498,火力,6
22315,绝世,6
16805,改姓,6
39157,前屯,6
26678,痛不欲生,6
39058,总镇,6
17076,巡边,6
9259,强横,6
17082,权术,6
11981,怀来,6
21933,三十五岁,6
9246,肩膀,6
21931,微妙,6
17123,黑道,6
25609,垮台,6
21919,行装,6
11968,一长,6
9238,露面,6
11947,声明,6
9227,顺水推舟,6
9222,好意,6
9209,几百人,6
17182,同门,6
9207,祸根,6
25633,刘姬,6
17194,延误,6
17199,连个,6
21856,寡妇,6
17235,手软,6
17074,耍赖,6
17062,打油诗,6
12140,狂言,6
9271,战马,6
22110,毫不相干,6
36985,酒色财气,6
16845,家境,6
16846,仗义,6
9320,山谷,6
13688,响应,6
16863,反省,6
12092,谎言,6
27303,高时,6
35366,大西门,6
25548,临头,6
9304,完整,6
22011,缺德事,6
22004,依然故我,6
12040,莫不是,6
25574,节省,6
9279,白费,6
12013,耳光,6
9278,抑制,6
27324,降级,6
12010,义愤填膺,6
21968,最猛,6
17048,一事,6
12349,吃吃喝喝,6
16303,失温,6
15520,新科,6
12622,天明,6
12696,厄运,6
12685,高处,6
22875,不对劲,6
25165,妥善,6
25169,伪造,6
22852,开除,6
25190,秤砣,6
22844,拉着,6
22842,收拾残局,6
15843,倒也不是,6
9561,速迭儿,6
15868,识破,6
16293,全力以赴,6
12613,河流,6
12612,辨别,6
15883,仓促,6
12604,此举,6
12582,长枪,6
15894,进口,6
22789,见风使舵,6
15914,城边,6
12564,吴杰,6
12561,1400,6
12553,信得过,6
25131,凶残,6
12715,西游记,6
12721,缠绕,6
12735,太好了,6
15524,才行,6
41590,马世龙,6
9602,横跨,6
39667,四万两,6
23072,那道,6
23061,贬官,6
23054,判决,6
23036,考完,6
23014,信心十足,6
22996,天府,6
41595,1630,6
25065,猫腻,6
12802,辛勤工作,6
12801,尽责,6
12792,心血来潮,6
15704,大发雷霆,6
12751,国尽忠,6
22941,书法,6
25103,活儿,6
9586,鬼力,6
9585,1402,6
25107,所属,6
34725,毛利辉,6
36695,2006,6
12551,忐忑不安,6
9527,三千余,6
9476,凶神恶煞,6
9472,急促,6
25307,调来,6
12420,纷乱,6
22616,金丹,6
16150,快马加鞭,6
16152,明智地,6
12416,退后,6
16176,呼啸,6
9444,营区,6
16195,一劫,6
22582,冤情,6
12385,修筑,6
22567,肋骨,6
22555,违法,6
22547,望尘莫及,6
12362,拉住,6
22542,整不死,6
16252,嘉奖,6
39380,刘若愚,6
12352,无时无刻,6
16273,边上,6
16277,叫板,6
25378,专利,6
22646,乱七八糟,6
39448,客印,6
12528,世道,6
9479,妖魔鬼怪,6
26729,亏了,6
9515,垂头丧气,6
35517,打伤,6
22740,报恩,6
25265,证据确凿,6
27194,络绎不绝,6
15987,哈三卫,6
12498,请来,6
16001,崛起,6
35506,装弹,6
16009,煽风点火,6
22697,横行,6
16029,常年,6
22674,泰山,6
16063,过头,6
22661,死无葬身之地,6
25281,最穷,6
16074,带路,6
12471,设在,6
25289,处长,6
12457,防卫,6
12446,学过,6
10310,敏感,6
15266,三尺,6
31846,从上到下,6
34620,中日,6
4126,焚毁,6
28112,徐阶曾,6
4220,差得远,6
4208,慌了手脚,6
1371,乌合之众,6
1379,威震天下,6
6668,同类,6
1395,营房,6
4142,辈出,6
28836,胜券在握,6
4027,稀罕,6
31346,由头,6
31341,擦屁股,6
28819,头晕,6
31338,往死里,6
28815,充分证明,6
4039,阿弥陀佛,6
6734,起草,6
1480,好运,6
1324,传令,6
30159,无条件,6
32883,郑先生,6
42024,朱大典,6
1274,孤立无援,6
4320,快速,6
6601,榜眼,6
6602,探花,6
4311,三国,6
6610,县丞,6
6612,不管怎么,6
4298,十余,6
8104,几万两,6
4288,名为,6
1294,酒桌上,6
32890,财政部,6
8101,可到,6
1309,带个,6
6635,崇拜,6
6639,登科,6
4260,号角,6
1482,够呛,6
6746,衣锦还乡,6
1735,苦大仇深,6
6840,杀手锏,6
3887,奖励,6
7978,逃脱,6
31287,古董,6
1619,应立即,6
6835,词句,6
6839,别急,6
3878,郭兴,6
7970,失控,6
30366,1559,6
1493,善待,6
33668,九成,6
7947,含笑,6
1695,自古,6
33673,有位,6
3807,没命,6
3799,动弹,6
1706,东边,6
32748,庸医,6
28752,聊着,6
30346,戚景通,6
42301,混世,6
1591,占有,6
31326,王学的,6
30305,1558,6
32790,药物,6
30316,到期,6
6781,前仆后继,6
8009,自小,6
6787,完善,6
8008,不公,6
3953,寻求,6
28775,再犯,6
1551,信义,6
1560,往回,6
1561,铁索,6
3934,遥不可及,6
43006,唐王,6
3919,增强,6
7992,少师,6
1250,孤军奋战,6
4342,堆里,6
28894,司业,6
29878,宗礼,6
31570,篇幅,6
4849,配备,6
29847,单干,6
27994,期限,6
8245,赐给,6
29866,死脑筋,6
29867,曾一度,6
31546,看不懂,6
32040,南平,6
1236,冲天,6
826,剧本,6
32048,不入流,6
4768,剪除,6
4747,不敢相信,6
4743,不佳,6
857,交差,6
4735,八岁,6
28024,另一面,6
4880,之时,6
8263,汉朝,6
4902,和蔼,6
687,口粮,6
5054,上帝,6
567,顺风,6
5031,一说,6
579,扇门,6
5019,打法,6
6319,缔造者,6
42754,秦兵,6
27973,吃苦,6
8291,连饭,6
8290,优待,6
29055,转交,6
4982,铁木真,6
4981,蒙古族,6
649,唾骂,6
654,容貌,6
8273,七天,6
33079,无锡,6
6424,自称,6
33019,我信,6
33016,徐家,6
4537,底牌,6
4514,残兵,6
1099,索取,6
4513,雄心壮志,6
32960,高拱兄,6
1126,性情,6
30035,武士道,6
1141,牢中,6
4451,人间地狱,6
4438,烧死,6
28914,十大,6
8142,放进,6
4436,火光冲天,6
4414,黄昏,6
4408,大事不好,6
8134,措施,6
30074,夏正,6
4381,火攻,6
6491,挤破,6
4541,根本原因,6
28031,懈怠,6
4547,深恶痛绝,6
894,周德兴,6
6438,混战,6
8182,决定性,6
4654,招惹,6
977,乐趣,6
42389,车厢,6
1011,称职,6
4574,二十四年,6
1021,智囊,6
1024,尖锐,6
4563,奠定,6
33554,白搭,6
6484,录取名额,6
8163,修炼,6
1038,毫不在意,6
4551,闻讯,6
1047,幸存,6
3784,冷箭,6
3760,特制,6
6305,不笨,6
28538,徐阶依然,6
7679,私事,6
31036,很会来,6
7667,包含,6
2991,见惯,6
2318,一败涂地,6
2324,不长,6
7665,人帮,6
2331,吃不饱,6
7660,假设,6
2881,名言,6
7364,清单,6
2340,应声,6
2342,单枪匹马,6
2942,九江,6
32371,江陵,6
2360,开辟,6
7641,村长,6
30829,十一个,6
7339,表象,6
7689,发脾气,6
33765,泄露,6
2295,谈不拢,6
7235,汪广洋,6
2178,图谋,6
28596,1550,6
32583,碉堡,6
7744,划定,6
28577,一挥,6
7266,付出代价,6
2206,卫士,6
31070,福清,6
2216,淡淡地,6
2218,想过,6
29287,喂鱼,6
2248,大义,6
7293,逍遥,6
28351,假象,6
2261,守规矩,6
3025,吵醒,6
2889,丈二金刚,6
2865,夜色,6
31247,他率,6
2677,角落,6
30963,断粮,6
2735,主动出击,6
2734,疲劳,6
30881,怕老婆,6
2718,立足未稳,6
30951,上百人,6
2701,威严,6
2697,我本,6
2662,诱敌深入,6
2854,内线,6
7533,惧怕,6
2642,瞧得起,6
2566,辽阔,6
2569,下凡,6
2607,算命先生,6
7550,中部,6
7556,累积,6
2584,逼急,6
7494,一怒之下,6
2754,阻碍,6
7488,玩出,6
2470,畏畏缩缩,6
7430,顶用,6
7434,两张,6
7435,巴结,6
7445,口头,6
7453,心愿,6
7624,大型,6
7617,撤销,6
7613,幸存者,6
7457,空头支票,6
7610,押赴,6
7458,小学生,6
2798,狡黠,6
2772,踌躇,6
7475,听得,6
2461,大到,6
7481,之多,6
2467,自他,6
31085,汹涌,6
30662,海选,6
2163,韩信,6
31185,1580,6
1831,王位,6
1835,称王,6
1841,出师,6
6985,赋予,6
1859,悲壮,6
28672,北直隶,6
7004,不妥,6
7890,不远千里,6
30494,龙山,6
7752,不守,6
3560,阳光,6
3530,薛显,6
30515,坟里,6
30516,熊熊,6
1923,死期,6
3487,耀眼,6
7863,冤案,6
1928,小伙子,6
3592,口吻,6
7905,妇女,6
1825,建都,6
6944,宽厚,6
3750,我怕,6
1768,垄断,6
3720,彪悍,6
1777,私盐,6
6918,外敌,6
1783,隋唐,6
6921,老乡会,6
7919,跪下,6
28219,本职工作,6
1793,河里,6
28220,劫匪,6
30441,上级领导,6
1798,力度,6
7907,衣物,6
1815,贫苦,6
32718,医学,6
3617,大家伙,6
3474,热衷于,6
7069,领头,6
1950,黄州,6
7156,不买,6
3224,叛变,6
31095,收工,6
7168,天气预报,6
28307,武举,6
3207,大老粗,6
7773,禁止,6
7184,善男信女,6
7186,布下,6
43131,空隐,6
7191,扶植,6
32593,靠边站,6
33906,生子,6
7205,靶子,6
7206,代言人,6
2147,内幕,6
7759,高超,6
3171,照样,6
7163,不下雨,6
30623,义乌人,6
3448,心理学,6
7150,李彬,6
28655,不谈,6
3417,饮酒作乐,6
7094,提意见,6
7827,进门,6
7101,洋洋自得,6
32310,没影,6
7109,于洪武,6
3320,傀儡,6
7124,耐人寻味,6
7128,四千,6
3287,衣袖,6
2056,无敌,6
2063,无例外,6
7141,之策,6
2068,暗杀,6
7149,导火线,6
30622,矿工,6
5058,匈奴,6
4156,儿时,6
33256,封贡,6
6105,屡败屡战,6
5237,锄头,6
5207,牢固,6
31853,清官,6
5825,唱戏,6
8373,对照,6
477,太上老君,6
5947,老相识,6
5826,苗头,6
29370,曹邦辅,6
5249,数倍,6
31904,廉耻,6
31852,无厘头,6
6195,自认,6
29392,浪人,6
495,皇觉,6
6203,意料之外,6
5640,出营,6
8492,三百多,6
29566,除个别,6
8359,人犯,6
29317,背锅,6
6168,诠释,6
8543,印章,6
34184,看戏,6
5626,内应,6
5625,充当,6
8372,告状信,6
8501,伤口,6
457,虽大,6
43605,本纪,6
5924,哪里找,6
180,数学,6
355,旱灾,6
5801,修房子,6
5567,一拍,6
505,念经,6
5231,享乐,6
5421,二日,6
5424,纵马,6
5580,抵御,6
347,炸药包,6
8408,警戒,6
5122,挫折,6
31822,后遗症,6
29657,几名,6
5912,抱头痛哭,6
5156,舒适,6
29328,到位,6
8468,刑具,6
31658,徐阶都,6
65,出处,6
33334,李大人,6
5964,立志,6
42637,祖大乐,6
5280,汉族,6
253,公事,6
31702,滴水不漏,6
5755,诱饵,6
6289,好惹,6
388,皆大欢喜,6
161,讨生活,6
6188,观光,6
5489,许可,6
8395,劳苦功高,6
124,1368,6
8387,有兵,6
533,相处,6
5875,帅旗,6
5937,多才多艺,6
264,一匹,6
8322,数目,6
5343,味来,6
29292,置于死地,6
5739,灿烂,6
285,降临到,6
8478,急眼,6
6236,冲昏,6
5896,敏捷,6
483,幼小,6
6178,引诱,6
8442,限于,6
5299,人格,6
6090,一大群,6
19,动笔,6
249,过节,6
5867,远道而来,6
5192,至死,6
5267,更能,6
5943,太尉蛮,6
29282,打输,6
33471,李寡妇,6
29611,三大,6
5138,以身许国,6
5934,水流,6
5607,四日,6
15861,外部,5
30579,伤亡惨重,5
22854,丘八,5
22813,安生,5
7121,相比之下,5
15881,结实,5
25569,救民,5
43112,1639,5
3392,有进无退,5
10571,野草,5
10550,表哥,5
3339,如何是好,5
3364,不过如此,5
22811,滔滔不绝,5
29452,少林寺,5
12025,伟大意义,5
15814,协议,5
15802,串通,5
10580,开裆裤,5
35552,扛着,5
3375,有何面目,5
29454,两地,5
30568,俞家军,5
3379,行宫,5
3321,不受,5
22820,没改,5
15848,步骤,5
3371,建树,5
10584,不穷,5
3378,必取,5
10567,派上用场,5
33126,1570,5
10546,文采,5
28618,大动干戈,5
30635,累计,5
7175,煽动,5
22715,真人,5
12547,要面子,5
7177,临走前,5
7178,头脑发热,5
10478,同日,5
12544,常事,5
28619,仇先生,5
29244,威风八面,5
12539,声嘶力竭,5
16003,扶持,5
25237,估摸,5
10545,中肯,5
16011,死去活来,5
5663,势如破竹,5
26617,凄凉,5
10466,善用,5
10465,啼哭,5
16022,大不如前,5
12500,稳住阵脚,5
12499,尚存,5
16041,李远,5
29410,杂牌,5
3184,上游,5
12490,正想,5
10488,指点,5
12053,编造,5
15986,和兀良,5
30624,永康,5
22786,通行证,5
30599,简称,5
7132,很重,5
3289,长久以来,5
6007,现状,5
22772,这么一来,5
12031,纠集,5
3286,他拉住,5
15918,锋利,5
10529,儿童不宜,5
12594,地雷,5
10528,终日,5
5622,独到,5
15950,正规军,5
15957,手工业,5
12041,讲得,5
25220,曾国藩,5
12568,军需,5
15978,拥戴,5
7160,怒不可遏,5
7162,一命,5
5639,飞奔,5
12563,安陆,5
26605,水漂,5
5641,权衡利弊,5
10590,十一岁,5
22938,李先生,5
15784,假冒,5
30452,军法,5
23134,别号,5
23129,屁话,5
11966,管饭,5
15474,六次,5
11967,喝风,5
25118,筷子,5
15486,1424,5
15496,大帝,5
29216,犯下,5
11973,干到底,5
25122,史可法,5
23110,密封,5
23106,体制,5
3608,此门,5
3601,度日,5
3409,有失,5
6964,官名,5
12712,大受,5
11978,调派,5
30474,都司,5
10714,顽抗到底,5
5550,木车,5
23085,监考,5
25125,交通,5
15537,穿越,5
29221,秋后,5
23077,考量,5
30482,请客送礼,5
15540,北上,5
10706,那可真,5
5530,少数几个,5
15464,主权,5
3640,巷战,5
43053,刘首辅,5
15358,干成,5
5508,第三条,5
10796,宽大处理,5
15359,一票,5
3721,无理,5
10792,皇族,5
15363,中枢,5
23202,乱跑,5
6069,凡人,5
15377,训练有素,5
15389,逃出来,5
12775,安稳,5
15399,滋味,5
3697,鼓舞士气,5
15407,五次,5
3689,砌墙,5
25087,誓死,5
5514,倾巢而出,5
26472,霍韬,5
10762,插曲,5
25623,深刻印象,5
15427,乘坐,5
3664,树木,5
23156,大叔,5
10758,磨刀霍霍,5
30435,打点,5
5523,回击,5
33693,李总兵,5
12746,追杀,5
15546,创建,5
26501,1524,5
7003,敕令,5
12661,先用,5
15689,史称,5
15692,政令,5
10641,判断力,5
7061,女乐,5
12657,练就,5
3471,狰狞面目,5
3470,行头,5
15709,押送,5
7062,奉天,5
22944,字画,5
22669,恭恭敬敬,5
10625,老将,5
10624,打服,5
12655,风范,5
25174,不宜,5
30541,鸣金,5
10620,黑名单,5
10619,列入,5
7070,理都,5
7075,禀报,5
7076,口谕,5
39591,这活,5
25186,激昂,5
25191,铁了心,5
22929,打住,5
30556,惨无人道,5
22902,非同一般,5
12017,熟练地,5
12623,缠绕着,5
6028,冷酷无情,5
36608,1615,5
5552,最狠,5
15686,幕府,5
42259,闯将,5
12702,红了眼,5
12693,血战,5
39657,1624,5
3570,一反,5
3569,都督府,5
23058,查实,5
29481,废柴,5
3562,飘扬,5
23047,试卷,5
23043,才华横溢,5
3551,军团,5
15591,亚洲,5
10680,之声,5
26513,圣明,5
10675,隐秘,5
32677,如日中天,5
23018,偶遇,5
3538,两千人,5
33395,黑枪,5
12674,如约,5
22992,真心,5
36589,举世无双,5
7044,引经据典,5
15646,定期,5
15657,自用,5
3512,大城市,5
22975,合称,5
25146,八千,5
7210,追随,5
5968,风采,5
16056,利诱,5
22354,此派,5
16592,层皮,5
16598,结晶,5
2842,低着头,5
7449,变数,5
26795,裁减,5
16614,英才,5
5802,营寨,5
16620,得胜,5
5922,渡河,5
10171,陵墓,5
2819,困苦,5
12314,甚高,5
16635,没日没夜,5
22232,行凶,5
10163,默默无闻,5
7456,福气,5
5822,敲锣打鼓,5
26811,转头,5
2811,重赏,5
16652,纠缠,5
2807,倒戈,5
16661,作恶,5
16667,气派,5
29323,他太过,5
16676,北镇抚,5
10136,不息,5
16691,鱼肉百姓,5
16698,鬼话,5
10133,精力充沛,5
10189,主要职责,5
29332,王江泾,5
40825,阜城县,5
29349,破格,5
2934,退潮,5
22352,梁掌门,5
10241,王国,5
16507,军事史,5
16512,三线,5
39281,几月,5
2900,不远处,5
16534,首创,5
26780,徐文长,5
2898,加快速度,5
26784,天天向上,5
33374,这关,5
26785,事干,5
25374,两方,5
22282,武林大会,5
16547,靠拢,5
25509,奋勇前进,5
16564,狼牙棒,5
32467,张尚书,5
10205,驾帖,5
26790,李时,5
12156,爹娘,5
28512,江洋大盗,5
39257,吃皇粮,5
16576,兼具,5
7420,宝物,5
7423,奖赏,5
10195,一去不返,5
29278,前所未见,5
10128,接收,5
16706,压倒,5
2631,倒地,5
10067,最底层,5
10062,商业,5
5901,生擒,5
16848,养育,5
16853,教育局,5
10057,流动,5
16855,混成,5
12259,败军,5
35422,含毯门,5
16875,史学,5
25466,观战,5
22073,得紧,5
16881,拥护者,5
16886,层出不穷,5
2675,狂风暴雨,5
16899,应试,5
16904,云集,5
22056,竟是,5
12248,两下,5
16915,收尸,5
10025,配发,5
16927,摸透,5
16930,召入,5
10019,常用,5
16944,深沉,5
7551,使节,5
12230,阵中,5
7560,推给,5
2673,共存亡,5
10070,干政,5
2763,大片,5
2732,一鼓作气,5
12187,劲来,5
16711,分管,5
5829,营垒,5
7490,正面交锋,5
39199,济尔哈朗,5
5839,左军,5
42541,卢阎王,5
22191,卑微,5
16730,大半年,5
7495,司法部门,5
12269,终归,5
16732,夫妻,5
28484,军备,5
5857,喧嚣,5
12260,一冲,5
16751,一闹,5
16756,最高级别,5
16762,心计,5
10094,绕道,5
