,label,counts
2539,部下,102
2669,局势,102
1411,五年,101
26779,徐渭,101
1851,弟弟,101
636,战胜,101
167,干活,100
74,史书,100
37010,郑贵妃,99
1176,召集,99
1871,关键时刻,99
1889,浙江,99
793,看似,99
971,平静,99
5258,王保保,99
835,畏惧,99
3852,想法,98
383,报告,98
939,前来,98
2077,学生,98
1751,理论,98
395,长子,98
560,地点,98
331,七年,98
14067,钱谦益,97
34961,沈惟敬,97
8177,李贤,97
2409,天才,97
4318,并不知道,97
1424,方向,97
4194,无比,97
5149,玩意儿,96
587,力量,96
7151,亲信,96
272,上天,96
6930,负责,95
841,死亡,95
2554,接到,95
3268,面子,94
893,主意,94
37615,叶向高,94
1003,危险,94
2907,隐藏,94
2924,一幕,94
12225,北军,94
2815,打击,94
2024,背后,94
4787,两位,94
402,想要,93
13175,没法,93
262,地步,93
1808,性格,93
6976,办事,93
2004,文化,92
12850,盛庸,92
844,勇气,92
9193,下达,91
954,赶到,91
2743,陷入,91
429,成员,91
976,平时,91
119,和尚,91
1673,击败,91
217,梦想,91
2803,秘密,91
7658,知府,90
61,事件,90
872,元军,90
1944,江西,90
28240,陆炳,90
4212,眼看,90
6674,侍郎,90
1429,李善长,89
1712,张士诚,89
1538,城外,89
2144,谈话,89
6461,对此,89
635,自信,89
34769,李舜臣,89
15,值得,88
75,在我看来,88
3001,得罪,88
1479,顺利,88
10464,一声,88
1907,好人,87
824,英雄,87
3951,前往,87
3806,老子,87
3575,武将,87
1301,客气,86
37564,沈一贯,86
4225,众人,86
5113,元年,86
2137,一招,85
15694,丰臣秀吉,85
3868,所有人,85
242,家伙,85
1132,一向,85
789,道路,85
9587,鞑靼,85
1672,八月,85
4115,追击,85
1393,文书,84
22053,这事,84
2270,消停,84
18114,冯保,84
940,抓住,84
111,农民,84
2514,城墙,84
681,兴奋,84
4675,任命,83
12068,南军,83
590,仔细,83
93,举人,83
7801,特务,83
5664,陕西,83
2219,残酷,83
1076,原则,83
12287,闹事,83
2876,惊奇,83
709,眼睛,82
2640,担任,82
10250,国王,82
7782,正德,82
379,要说,82
3295,名声,81
7847,上朝,81
7321,六年,81
4522,首领,81
20591,入阁,81
5131,铁骑,80
12113,叛军,80
2279,连夜,80
41281,左良玉,80
2373,致命,80
671,懂得,80
2296,七月,80
2824,路上,80
4445,此刻,80
1164,活着,80
4497,一道,79
16690,司礼监,79
26494,杨慎,79
528,坐在,79
1201,辞职,78
22900,李东阳,78
5772,率军,78
1206,出人意料,78
1864,拼命,78
1352,抵抗,78
1363,结论,77
6956,称为,77
2792,执行,77
3356,反复,77
1439,守军,77
2416,道理,77
407,欺负,77
1152,答应,77
2122,代表,77
2096,环境,77
2239,登基,77
6671,集团,77
4696,叛乱,76
8025,工资,76
160,土地,76
1779,利益,76
7375,太过,76
1124,前途,76
3405,奇迹,76
299,四年,76
63,文章,76
617,困难,76
1849,攻城,76
3531,猛人,76
3696,休息,76
2264,威胁,75
4356,兵法,75
7819,名单,75
11685,宦官,75
4944,出乎,75
591,研究,75
35137,麻贵,75
3637,指挥官,75
39251,汪文言,75
18512,大同,75
1420,学习,75
